region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long
chicago,26590,2018.0,nissan,frontier crew cab sv,good,6 cylinders,gas,40176.0,clean,other,fwd,,pickup,silver,il,41.88,-87.78
scranton / wilkes-barre,1695,2000.0,chevrolet,suburban,,,gas,300650.0,clean,automatic,4wd,,wagon,,pa,41.40703,-75.43913
flint,7950,2016.0,chevrolet,cruze limited,excellent,4 cylinders,gas,84525.0,clean,automatic,fwd,,sedan,blue,mi,42.944252,-83.73044
salem,281,2015.0,honda,cr-v,,4 cylinders,gas,97624.0,clean,automatic,4wd,,SUV,,or,44.97143,-123.01855
gold country,39590,2020.0,toyota,4runner trd off-road,good,6 cylinders,gas,28489.0,clean,other,4wd,,SUV,black,ca,38.73,-120.8
youngstown,4995,2011.0,mitsubishi,endeavor,excellent,,gas,129501.0,clean,automatic,4wd,,SUV,,oh,,
greenville / upstate,6300,2011.0,volkswagen,routan sel,good,6 cylinders,gas,135000.0,clean,automatic,fwd,full-size,van,black,sc,34.8921,-82.4002
phoenix,10988,2011.0,jeep,liberty,,,gas,95020.0,clean,automatic,4wd,,SUV,,az,33.534798,-112.18024
buffalo,0,2010.0,lexus,rx,,,gas,233101.0,clean,automatic,4wd,,wagon,,ny,42.8201,-78.80228
phoenix,2000,2001.0,chevrolet,s10 pickup,good,6 cylinders,gas,163000.0,clean,automatic,rwd,mid-size,truck,grey,az,33.407055,-111.93875
springfield,15590,2016.0,,Scion iM Hatchback 4D,good,,gas,32573.0,clean,other,fwd,,hatchback,green,il,39.78,-89.64
tri-cities,15995,2013.0,chevrolet,express 2500,,8 cylinders,other,185964.0,clean,automatic,rwd,,van,white,tn,36.360374,-82.38473
pittsburgh,15000,1999.0,ford,f350 super duty,good,10 cylinders,gas,62300.0,clean,automatic,4wd,,truck,,pa,41.0442,-79.7711
las vegas,1600,1994.0,toyota,4runner sr,good,6 cylinders,gas,0.0,clean,automatic,rwd,mid-size,SUV,grey,nv,36.3223,-115.2932
flagstaff / sedona,35590,2018.0,audi,a4 allroad premium wagon 4d,good,,gas,28162.0,clean,other,,,wagon,,az,33.779213,-84.41181
new haven,6998,2009.0,subaru,impreza,,,gas,132128.0,clean,automatic,,compact,sedan,blue,ct,41.931038,-72.76713
seattle-tacoma,10499,2013.0,hyundai,elantra gls,,4 cylinders,gas,64361.0,clean,automatic,fwd,,sedan,white,wa,47.745163,-122.34496
bellingham,25999,2013.0,ram,1500,,8 cylinders,gas,146536.0,clean,automatic,4wd,,truck,,wa,47.81247,-122.32164
sacramento,17990,2019.0,fiat,500l pop hatchback 4d,good,,gas,3533.0,clean,other,fwd,,hatchback,red,ca,38.58,-121.49
kokomo,24990,2017.0,bmw,3 series 330i xdrive sedan,good,,gas,21850.0,clean,automatic,,,sedan,,in,40.47,-86.13
york,1500,1966.0,,oldsmobile ninety-eight,,8 cylinders,gas,99999.0,clean,automatic,,full-size,sedan,purple,pa,39.959232,-76.66031
boston,443,2018.0,audi,a4 2.0t premium plus,,4 cylinders,gas,,clean,automatic,4wd,,sedan,,ma,42.17152,-71.111115
south coast,25990,2015.0,lexus,nx 300h sport utility 4d,good,,other,55783.0,clean,other,,,hatchback,white,ma,42.35,-71.06
flint,18500,2005.0,ford,mustang,like new,8 cylinders,gas,21000.0,clean,automatic,,,,,mi,41.8679,-80.7947
lancaster,3500,2008.0,dodge,caliber sxt,good,4 cylinders,gas,120800.0,rebuilt,automatic,fwd,compact,hatchback,silver,pa,40.02299,-76.30978
el paso,3950,1987.0,chevrolet,corvette,good,,gas,666.0,clean,automatic,,,hatchback,yellow,tx,31.772102,-106.41618
wilmington,36990,2016.0,gmc,sierra 2500 hd double cab,good,8 cylinders,gas,23190.0,clean,other,4wd,,pickup,black,nc,34.21,-77.91
lansing,7950,2010.0,jeep,grand cherokee,excellent,6 cylinders,gas,144236.0,clean,automatic,4wd,,SUV,silver,mi,43.1695,-84.8653
rhode island,3000,2008.0,,international 4300,,,diesel,156000.0,clean,automatic,,,,,ri,42.0794,-71.04
duluth / superior,26950,2016.0,bmw,x5 xdrive50i m-sport 7-pass,,,gas,89296.0,clean,automatic,,,,,mn,44.8346,-91.5159
syracuse,8600,2011.0,honda,civic,excellent,4 cylinders,gas,88361.0,clean,automatic,fwd,compact,sedan,white,ny,43.1707,-76.0962
gold country,38990,2020.0,dodge,charger r/t sedan 4d,good,,other,5261.0,clean,other,,,sedan,white,ca,38.73,-120.8
omaha / council bluffs,10995,2011.0,mercedes-benz,glk,,6 cylinders,gas,90047.0,rebuilt,automatic,4wd,,SUV,silver,ia,41.207382,-96.023094
pittsburgh,9350,2014.0,nissan,altima 2.5,,4 cylinders,gas,84412.0,clean,automatic,fwd,,sedan,red,pa,40.402004,-80.00063
palm springs,22000,2018.0,honda,hr-v ex-l navi,good,,other,24630.0,clean,automatic,fwd,,hatchback,white,ca,33.70728,-116.28518
